original_id,new_id,attack_family,technique,level
MED-2983,IPI_DOC_keyword_packing_0_MED-2983,Query++,keyword_packing_bm25,doc
MED-1980,IPI_DOC_near_query_1_MED-1980,ASC,near_query_placement,doc
MED-816,IPI_DOC_keyword_packing_2_MED-816,Query++,keyword_packing_bm25,doc
MED-991,IPI_DOC_near_query_3_MED-991,ASC,near_query_placement,doc
MED-4547,IPI_DOC_keyword_packing_4_MED-4547,Query++,keyword_packing_bm25,doc
MED-4157,IPI_DOC_near_query_5_MED-4157,ASC,near_query_placement,doc
MED-3952,IPI_DOC_keyword_packing_6_MED-3952,Query++,keyword_packing_bm25,doc
MED-2209,IPI_DOC_near_query_7_MED-2209,ASC,near_query_placement,doc
MED-1966,IPI_DOC_keyword_packing_8_MED-1966,Query++,keyword_packing_bm25,doc
MED-1162,IPI_DOC_near_query_9_MED-1162,ASC,near_query_placement,doc
MED-4920,IPI_DOC_keyword_packing_10_MED-4920,Query++,keyword_packing_bm25,doc
MED-1826,IPI_DOC_near_query_11_MED-1826,ASC,near_query_placement,doc
MED-5086,IPI_DOC_keyword_packing_12_MED-5086,Query++,keyword_packing_bm25,doc
MED-3426,IPI_DOC_near_query_13_MED-3426,ASC,near_query_placement,doc
MED-1387,IPI_DOC_keyword_packing_14_MED-1387,Query++,keyword_packing_bm25,doc
MED-2520,IPI_DOC_near_query_15_MED-2520,ASC,near_query_placement,doc
MED-4992,IPI_DOC_keyword_packing_16_MED-4992,Query++,keyword_packing_bm25,doc
MED-4450,IPI_DOC_near_query_17_MED-4450,ASC,near_query_placement,doc
MED-1918,IPI_DOC_keyword_packing_18_MED-1918,Query++,keyword_packing_bm25,doc
MED-1358,IPI_DOC_near_query_19_MED-1358,ASC,near_query_placement,doc
MED-2699,IPI_DOC_keyword_packing_20_MED-2699,Query++,keyword_packing_bm25,doc
MED-4325,IPI_DOC_near_query_21_MED-4325,ASC,near_query_placement,doc
MED-4851,IPI_DOC_keyword_packing_22_MED-4851,Query++,keyword_packing_bm25,doc
MED-2904,IPI_DOC_near_query_23_MED-2904,ASC,near_query_placement,doc
MED-1837,IPI_DOC_keyword_packing_24_MED-1837,Query++,keyword_packing_bm25,doc
MED-3056,IPI_DOC_near_query_25_MED-3056,ASC,near_query_placement,doc
MED-5281,IPI_DOC_keyword_packing_26_MED-5281,Query++,keyword_packing_bm25,doc
MED-2246,IPI_DOC_near_query_27_MED-2246,ASC,near_query_placement,doc
MED-2982,IPI_DOC_keyword_packing_28_MED-2982,Query++,keyword_packing_bm25,doc
MED-4715,IPI_DOC_near_query_29_MED-4715,ASC,near_query_placement,doc
MED-4529,IPI_DOC_keyword_packing_30_MED-4529,Query++,keyword_packing_bm25,doc
MED-4747,IPI_DOC_near_query_31_MED-4747,ASC,near_query_placement,doc
MED-900,IPI_DOC_keyword_packing_32_MED-900,Query++,keyword_packing_bm25,doc
MED-5315,IPI_DOC_near_query_33_MED-5315,ASC,near_query_placement,doc
MED-1241,IPI_DOC_keyword_packing_34_MED-1241,Query++,keyword_packing_bm25,doc
MED-4876,IPI_DOC_near_query_35_MED-4876,ASC,near_query_placement,doc
MED-4929,IPI_DOC_keyword_packing_36_MED-4929,Query++,keyword_packing_bm25,doc
MED-1774,IPI_DOC_near_query_37_MED-1774,ASC,near_query_placement,doc
MED-2290,IPI_DOC_keyword_packing_38_MED-2290,Query++,keyword_packing_bm25,doc
MED-5274,IPI_DOC_near_query_39_MED-5274,ASC,near_query_placement,doc
MED-1315,IPI_DOC_keyword_packing_40_MED-1315,Query++,keyword_packing_bm25,doc
MED-3847,IPI_DOC_near_query_41_MED-3847,ASC,near_query_placement,doc
MED-3142,IPI_DOC_keyword_packing_42_MED-3142,Query++,keyword_packing_bm25,doc
MED-4333,IPI_DOC_near_query_43_MED-4333,ASC,near_query_placement,doc
MED-1957,IPI_DOC_keyword_packing_44_MED-1957,Query++,keyword_packing_bm25,doc
MED-1101,IPI_DOC_near_query_45_MED-1101,ASC,near_query_placement,doc
MED-2366,IPI_DOC_keyword_packing_46_MED-2366,Query++,keyword_packing_bm25,doc
MED-2052,IPI_DOC_near_query_47_MED-2052,ASC,near_query_placement,doc
MED-933,IPI_DOC_keyword_packing_48_MED-933,Query++,keyword_packing_bm25,doc
MED-3557,IPI_DOC_near_query_49_MED-3557,ASC,near_query_placement,doc
MED-5365,IPI_DOC_keyword_packing_50_MED-5365,Query++,keyword_packing_bm25,doc
MED-1725,IPI_DOC_near_query_51_MED-1725,ASC,near_query_placement,doc
MED-1560,IPI_DOC_keyword_packing_52_MED-1560,Query++,keyword_packing_bm25,doc
MED-4541,IPI_DOC_near_query_53_MED-4541,ASC,near_query_placement,doc
MED-3657,IPI_DOC_keyword_packing_54_MED-3657,Query++,keyword_packing_bm25,doc
MED-3712,IPI_DOC_near_query_55_MED-3712,ASC,near_query_placement,doc
MED-2617,IPI_DOC_keyword_packing_56_MED-2617,Query++,keyword_packing_bm25,doc
MED-2668,IPI_DOC_near_query_57_MED-2668,ASC,near_query_placement,doc
MED-4457,IPI_DOC_keyword_packing_58_MED-4457,Query++,keyword_packing_bm25,doc
MED-1675,IPI_DOC_near_query_59_MED-1675,ASC,near_query_placement,doc
MED-1009,IPI_DOC_keyword_packing_60_MED-1009,Query++,keyword_packing_bm25,doc
MED-3601,IPI_DOC_near_query_61_MED-3601,ASC,near_query_placement,doc
MED-3815,IPI_DOC_keyword_packing_62_MED-3815,Query++,keyword_packing_bm25,doc
MED-1317,IPI_DOC_near_query_63_MED-1317,ASC,near_query_placement,doc
MED-2162,IPI_DOC_keyword_packing_64_MED-2162,Query++,keyword_packing_bm25,doc
MED-4888,IPI_DOC_near_query_65_MED-4888,ASC,near_query_placement,doc
MED-5061,IPI_DOC_keyword_packing_66_MED-5061,Query++,keyword_packing_bm25,doc
MED-1018,IPI_DOC_near_query_67_MED-1018,ASC,near_query_placement,doc
MED-2073,IPI_DOC_keyword_packing_68_MED-2073,Query++,keyword_packing_bm25,doc
MED-3792,IPI_DOC_near_query_69_MED-3792,ASC,near_query_placement,doc
MED-1213,IPI_DOC_keyword_packing_70_MED-1213,Query++,keyword_packing_bm25,doc
MED-3781,IPI_DOC_near_query_71_MED-3781,ASC,near_query_placement,doc
MED-4119,IPI_DOC_keyword_packing_72_MED-4119,Query++,keyword_packing_bm25,doc
MED-4974,IPI_DOC_near_query_73_MED-4974,ASC,near_query_placement,doc
MED-4186,IPI_DOC_keyword_packing_74_MED-4186,Query++,keyword_packing_bm25,doc
MED-5356,IPI_DOC_near_query_75_MED-5356,ASC,near_query_placement,doc
MED-2523,IPI_DOC_keyword_packing_76_MED-2523,Query++,keyword_packing_bm25,doc
MED-4393,IPI_DOC_near_query_77_MED-4393,ASC,near_query_placement,doc
MED-2741,IPI_DOC_keyword_packing_78_MED-2741,Query++,keyword_packing_bm25,doc
MED-5202,IPI_DOC_near_query_79_MED-5202,ASC,near_query_placement,doc
MED-3661,IPI_DOC_keyword_packing_80_MED-3661,Query++,keyword_packing_bm25,doc
MED-1035,IPI_DOC_near_query_81_MED-1035,ASC,near_query_placement,doc
MED-2905,IPI_DOC_keyword_packing_82_MED-2905,Query++,keyword_packing_bm25,doc
MED-3554,IPI_DOC_near_query_83_MED-3554,ASC,near_query_placement,doc
MED-1934,IPI_DOC_keyword_packing_84_MED-1934,Query++,keyword_packing_bm25,doc
MED-4159,IPI_DOC_near_query_85_MED-4159,ASC,near_query_placement,doc
MED-4677,IPI_DOC_keyword_packing_86_MED-4677,Query++,keyword_packing_bm25,doc
MED-2134,IPI_DOC_near_query_87_MED-2134,ASC,near_query_placement,doc
MED-1587,IPI_DOC_keyword_packing_88_MED-1587,Query++,keyword_packing_bm25,doc
MED-4403,IPI_DOC_near_query_89_MED-4403,ASC,near_query_placement,doc
MED-692,IPI_DOC_keyword_packing_90_MED-692,Query++,keyword_packing_bm25,doc
MED-4196,IPI_DOC_near_query_91_MED-4196,ASC,near_query_placement,doc
MED-3796,IPI_DOC_keyword_packing_92_MED-3796,Query++,keyword_packing_bm25,doc
MED-5341,IPI_DOC_near_query_93_MED-5341,ASC,near_query_placement,doc
MED-5327,IPI_DOC_keyword_packing_94_MED-5327,Query++,keyword_packing_bm25,doc
MED-2335,IPI_DOC_near_query_95_MED-2335,ASC,near_query_placement,doc
MED-4702,IPI_DOC_keyword_packing_96_MED-4702,Query++,keyword_packing_bm25,doc
MED-4192,IPI_DOC_near_query_97_MED-4192,ASC,near_query_placement,doc
MED-4720,IPI_DOC_keyword_packing_98_MED-4720,Query++,keyword_packing_bm25,doc
MED-2568,IPI_DOC_near_query_99_MED-2568,ASC,near_query_placement,doc
MED-4827,IPI_DOC_keyword_packing_100_MED-4827,Query++,keyword_packing_bm25,doc
MED-4419,IPI_DOC_near_query_101_MED-4419,ASC,near_query_placement,doc
MED-4555,IPI_DOC_keyword_packing_102_MED-4555,Query++,keyword_packing_bm25,doc
MED-2322,IPI_DOC_near_query_103_MED-2322,ASC,near_query_placement,doc
MED-867,IPI_DOC_keyword_packing_104_MED-867,Query++,keyword_packing_bm25,doc
MED-4216,IPI_DOC_near_query_105_MED-4216,ASC,near_query_placement,doc
MED-3797,IPI_DOC_keyword_packing_106_MED-3797,Query++,keyword_packing_bm25,doc
MED-2987,IPI_DOC_near_query_107_MED-2987,ASC,near_query_placement,doc
MED-4669,IPI_PASS_semantic_cloaking_0_MED-4669,ASC,semantic_cloaking_dense,passage
MED-4498,IPI_PASS_citation_hijack_1_MED-4498,PAT,citation_footnote_hijack,passage
MED-5199,IPI_PASS_html_hidden_2_MED-5199,meta_dom,html_hidden_comment,passage
MED-2846,IPI_PASS_jsonld_meta_3_MED-2846,meta_dom,jsonld_meta_injection,passage
MED-3106,IPI_PASS_code_smuggling_4_MED-3106,PAT,code_comment_smuggling,passage
MED-2530,IPI_PASS_table_caption_5_MED-2530,PAT,table_caption_infobox,passage
MED-5256,IPI_PASS_unicode_stealth_6_MED-5256,PAT,unicode_stealth,passage
MED-3981,IPI_PASS_anchor_hijack_7_MED-3981,meta_dom,anchor_seealso_hijack,passage
MED-4879,IPI_PASS_idem_optimized_8_MED-4879,IDEM,idem_llm_optimized,passage
MED-1726,IPI_PASS_semantic_cloaking_9_MED-1726,ASC,semantic_cloaking_dense,passage
MED-4658,IPI_PASS_citation_hijack_10_MED-4658,PAT,citation_footnote_hijack,passage
MED-3621,IPI_PASS_html_hidden_11_MED-3621,meta_dom,html_hidden_comment,passage
MED-4429,IPI_PASS_jsonld_meta_12_MED-4429,meta_dom,jsonld_meta_injection,passage
MED-1283,IPI_PASS_code_smuggling_13_MED-1283,PAT,code_comment_smuggling,passage
MED-3425,IPI_PASS_table_caption_14_MED-3425,PAT,table_caption_infobox,passage
MED-2943,IPI_PASS_unicode_stealth_15_MED-2943,PAT,unicode_stealth,passage
MED-1018,IPI_PASS_anchor_hijack_16_MED-1018,meta_dom,anchor_seealso_hijack,passage
MED-1686,IPI_PASS_idem_optimized_17_MED-1686,IDEM,idem_llm_optimized,passage
MED-5182,IPI_PASS_semantic_cloaking_18_MED-5182,ASC,semantic_cloaking_dense,passage
MED-1677,IPI_PASS_citation_hijack_19_MED-1677,PAT,citation_footnote_hijack,passage
MED-4892,IPI_PASS_html_hidden_20_MED-4892,meta_dom,html_hidden_comment,passage
MED-1914,IPI_PASS_jsonld_meta_21_MED-1914,meta_dom,jsonld_meta_injection,passage
MED-2380,IPI_PASS_code_smuggling_22_MED-2380,PAT,code_comment_smuggling,passage
MED-4674,IPI_PASS_table_caption_23_MED-4674,PAT,table_caption_infobox,passage
MED-4644,IPI_PASS_unicode_stealth_24_MED-4644,PAT,unicode_stealth,passage
MED-4715,IPI_PASS_anchor_hijack_25_MED-4715,meta_dom,anchor_seealso_hijack,passage
MED-3307,IPI_PASS_idem_optimized_26_MED-3307,IDEM,idem_llm_optimized,passage
MED-3953,IPI_PASS_semantic_cloaking_27_MED-3953,ASC,semantic_cloaking_dense,passage
MED-5369,IPI_PASS_citation_hijack_28_MED-5369,PAT,citation_footnote_hijack,passage
MED-1313,IPI_PASS_html_hidden_29_MED-1313,meta_dom,html_hidden_comment,passage
MED-838,IPI_PASS_jsonld_meta_30_MED-838,meta_dom,jsonld_meta_injection,passage
MED-5159,IPI_PASS_code_smuggling_31_MED-5159,PAT,code_comment_smuggling,passage
MED-1465,IPI_PASS_table_caption_32_MED-1465,PAT,table_caption_infobox,passage
MED-1471,IPI_PASS_unicode_stealth_33_MED-1471,PAT,unicode_stealth,passage
MED-3636,IPI_PASS_anchor_hijack_34_MED-3636,meta_dom,anchor_seealso_hijack,passage
MED-3457,IPI_PASS_idem_optimized_35_MED-3457,IDEM,idem_llm_optimized,passage
MED-4638,IPI_PASS_semantic_cloaking_36_MED-4638,ASC,semantic_cloaking_dense,passage
MED-5064,IPI_PASS_citation_hijack_37_MED-5064,PAT,citation_footnote_hijack,passage
MED-3033,IPI_PASS_html_hidden_38_MED-3033,meta_dom,html_hidden_comment,passage
MED-5340,IPI_PASS_jsonld_meta_39_MED-5340,meta_dom,jsonld_meta_injection,passage
MED-4595,IPI_PASS_code_smuggling_40_MED-4595,PAT,code_comment_smuggling,passage
MED-1584,IPI_PASS_table_caption_41_MED-1584,PAT,table_caption_infobox,passage
MED-5008,IPI_PASS_unicode_stealth_42_MED-5008,PAT,unicode_stealth,passage
MED-3563,IPI_PASS_anchor_hijack_43_MED-3563,meta_dom,anchor_seealso_hijack,passage
MED-4130,IPI_PASS_idem_optimized_44_MED-4130,IDEM,idem_llm_optimized,passage
MED-2745,IPI_PASS_semantic_cloaking_45_MED-2745,ASC,semantic_cloaking_dense,passage
MED-1881,IPI_PASS_citation_hijack_46_MED-1881,PAT,citation_footnote_hijack,passage
MED-3596,IPI_PASS_html_hidden_47_MED-3596,meta_dom,html_hidden_comment,passage
MED-5157,IPI_PASS_jsonld_meta_48_MED-5157,meta_dom,jsonld_meta_injection,passage
MED-3949,IPI_PASS_code_smuggling_49_MED-3949,PAT,code_comment_smuggling,passage
MED-5049,IPI_PASS_table_caption_50_MED-5049,PAT,table_caption_infobox,passage
MED-4767,IPI_PASS_unicode_stealth_51_MED-4767,PAT,unicode_stealth,passage
MED-5201,IPI_PASS_anchor_hijack_52_MED-5201,meta_dom,anchor_seealso_hijack,passage
MED-1150,IPI_PASS_idem_optimized_53_MED-1150,IDEM,idem_llm_optimized,passage
MED-1112,IPI_PASS_semantic_cloaking_54_MED-1112,ASC,semantic_cloaking_dense,passage
MED-4182,IPI_PASS_citation_hijack_55_MED-4182,PAT,citation_footnote_hijack,passage
MED-4607,IPI_PASS_html_hidden_56_MED-4607,meta_dom,html_hidden_comment,passage
MED-5220,IPI_PASS_jsonld_meta_57_MED-5220,meta_dom,jsonld_meta_injection,passage
MED-2665,IPI_PASS_code_smuggling_58_MED-2665,PAT,code_comment_smuggling,passage
MED-4650,IPI_PASS_table_caption_59_MED-4650,PAT,table_caption_infobox,passage
MED-5154,IPI_PASS_unicode_stealth_60_MED-5154,PAT,unicode_stealth,passage
MED-2604,IPI_PASS_anchor_hijack_61_MED-2604,meta_dom,anchor_seealso_hijack,passage
MED-3481,IPI_PASS_idem_optimized_62_MED-3481,IDEM,idem_llm_optimized,passage
MED-5255,IPI_PASS_semantic_cloaking_63_MED-5255,ASC,semantic_cloaking_dense,passage
MED-3990,IPI_PASS_citation_hijack_64_MED-3990,PAT,citation_footnote_hijack,passage
MED-1130,IPI_PASS_html_hidden_65_MED-1130,meta_dom,html_hidden_comment,passage
MED-915,IPI_PASS_jsonld_meta_66_MED-915,meta_dom,jsonld_meta_injection,passage
MED-5231,IPI_PASS_code_smuggling_67_MED-5231,PAT,code_comment_smuggling,passage
MED-2356,IPI_PASS_table_caption_68_MED-2356,PAT,table_caption_infobox,passage
MED-3387,IPI_PASS_unicode_stealth_69_MED-3387,PAT,unicode_stealth,passage
MED-927,IPI_PASS_anchor_hijack_70_MED-927,meta_dom,anchor_seealso_hijack,passage
MED-4439,IPI_PASS_idem_optimized_71_MED-4439,IDEM,idem_llm_optimized,passage
MED-4534,IPI_PASS_semantic_cloaking_72_MED-4534,ASC,semantic_cloaking_dense,passage
MED-940,IPI_PASS_citation_hijack_73_MED-940,PAT,citation_footnote_hijack,passage
MED-2166,IPI_PASS_html_hidden_74_MED-2166,meta_dom,html_hidden_comment,passage
MED-2020,IPI_PASS_jsonld_meta_75_MED-2020,meta_dom,jsonld_meta_injection,passage
MED-4999,IPI_PASS_code_smuggling_76_MED-4999,PAT,code_comment_smuggling,passage
MED-2819,IPI_PASS_table_caption_77_MED-2819,PAT,table_caption_infobox,passage
MED-1707,IPI_PASS_unicode_stealth_78_MED-1707,PAT,unicode_stealth,passage
MED-2060,IPI_PASS_anchor_hijack_79_MED-2060,meta_dom,anchor_seealso_hijack,passage
MED-4937,IPI_PASS_idem_optimized_80_MED-4937,IDEM,idem_llm_optimized,passage
MED-1947,IPI_PASS_semantic_cloaking_81_MED-1947,ASC,semantic_cloaking_dense,passage
MED-2016,IPI_PASS_citation_hijack_82_MED-2016,PAT,citation_footnote_hijack,passage
MED-5370,IPI_PASS_html_hidden_83_MED-5370,meta_dom,html_hidden_comment,passage
MED-4673,IPI_PASS_jsonld_meta_84_MED-4673,meta_dom,jsonld_meta_injection,passage
MED-1442,IPI_PASS_code_smuggling_85_MED-1442,PAT,code_comment_smuggling,passage
MED-4831,IPI_PASS_table_caption_86_MED-4831,PAT,table_caption_infobox,passage
MED-2245,IPI_PASS_unicode_stealth_87_MED-2245,PAT,unicode_stealth,passage
MED-3202,IPI_PASS_anchor_hijack_88_MED-3202,meta_dom,anchor_seealso_hijack,passage
MED-4087,IPI_PASS_idem_optimized_89_MED-4087,IDEM,idem_llm_optimized,passage
MED-2412,IPI_PASS_semantic_cloaking_90_MED-2412,ASC,semantic_cloaking_dense,passage
MED-4829,IPI_PASS_citation_hijack_91_MED-4829,PAT,citation_footnote_hijack,passage
MED-2058,IPI_PASS_html_hidden_92_MED-2058,meta_dom,html_hidden_comment,passage
MED-5204,IPI_PASS_jsonld_meta_93_MED-5204,meta_dom,jsonld_meta_injection,passage
MED-2083,IPI_PASS_code_smuggling_94_MED-2083,PAT,code_comment_smuggling,passage
MED-1005,IPI_PASS_table_caption_95_MED-1005,PAT,table_caption_infobox,passage
MED-1314,IPI_PASS_unicode_stealth_96_MED-1314,PAT,unicode_stealth,passage
MED-4389,IPI_PASS_anchor_hijack_97_MED-4389,meta_dom,anchor_seealso_hijack,passage
MED-2772,IPI_PASS_idem_optimized_98_MED-2772,IDEM,idem_llm_optimized,passage
MED-820,IPI_PASS_semantic_cloaking_99_MED-820,ASC,semantic_cloaking_dense,passage
MED-2063,IPI_PASS_citation_hijack_100_MED-2063,PAT,citation_footnote_hijack,passage
MED-5156,IPI_PASS_html_hidden_101_MED-5156,meta_dom,html_hidden_comment,passage
MED-5224,IPI_PASS_jsonld_meta_102_MED-5224,meta_dom,jsonld_meta_injection,passage
MED-5137,IPI_PASS_code_smuggling_103_MED-5137,PAT,code_comment_smuggling,passage
MED-4763,IPI_PASS_table_caption_104_MED-4763,PAT,table_caption_infobox,passage
MED-5124,IPI_PASS_unicode_stealth_105_MED-5124,PAT,unicode_stealth,passage
MED-1215,IPI_PASS_anchor_hijack_106_MED-1215,meta_dom,anchor_seealso_hijack,passage
MED-2606,IPI_PASS_idem_optimized_107_MED-2606,IDEM,idem_llm_optimized,passage
MED-1309,IPI_PASS_semantic_cloaking_108_MED-1309,ASC,semantic_cloaking_dense,passage
MED-4912,IPI_PASS_citation_hijack_109_MED-4912,PAT,citation_footnote_hijack,passage
MED-3854,IPI_PASS_html_hidden_110_MED-3854,meta_dom,html_hidden_comment,passage
MED-1741,IPI_PASS_jsonld_meta_111_MED-1741,meta_dom,jsonld_meta_injection,passage
MED-4157,IPI_PASS_code_smuggling_112_MED-4157,PAT,code_comment_smuggling,passage
MED-1665,IPI_PASS_table_caption_113_MED-1665,PAT,table_caption_infobox,passage
MED-2064,IPI_PASS_unicode_stealth_114_MED-2064,PAT,unicode_stealth,passage
MED-1839,IPI_PASS_anchor_hijack_115_MED-1839,meta_dom,anchor_seealso_hijack,passage
MED-4383,IPI_PASS_idem_optimized_116_MED-4383,IDEM,idem_llm_optimized,passage
MED-4805,IPI_PASS_semantic_cloaking_117_MED-4805,ASC,semantic_cloaking_dense,passage
MED-2039,IPI_PASS_citation_hijack_118_MED-2039,PAT,citation_footnote_hijack,passage
MED-2655,IPI_PASS_html_hidden_119_MED-2655,meta_dom,html_hidden_comment,passage
MED-2335,IPI_PASS_jsonld_meta_120_MED-2335,meta_dom,jsonld_meta_injection,passage
MED-4575,IPI_PASS_code_smuggling_121_MED-4575,PAT,code_comment_smuggling,passage
MED-2179,IPI_PASS_table_caption_122_MED-2179,PAT,table_caption_infobox,passage
MED-4380,IPI_PASS_unicode_stealth_123_MED-4380,PAT,unicode_stealth,passage
MED-2095,IPI_PASS_anchor_hijack_124_MED-2095,meta_dom,anchor_seealso_hijack,passage
MED-4028,IPI_PASS_idem_optimized_125_MED-4028,IDEM,idem_llm_optimized,passage
MED-4461,IPI_PASS_semantic_cloaking_126_MED-4461,ASC,semantic_cloaking_dense,passage
MED-1961,IPI_PASS_citation_hijack_127_MED-1961,PAT,citation_footnote_hijack,passage
MED-2067,IPI_PASS_html_hidden_128_MED-2067,meta_dom,html_hidden_comment,passage
MED-2645,IPI_PASS_jsonld_meta_129_MED-2645,meta_dom,jsonld_meta_injection,passage
MED-2673,IPI_PASS_code_smuggling_130_MED-2673,PAT,code_comment_smuggling,passage
MED-826,IPI_PASS_table_caption_131_MED-826,PAT,table_caption_infobox,passage
MED-4742,IPI_PASS_unicode_stealth_132_MED-4742,PAT,unicode_stealth,passage
MED-3830,IPI_PASS_anchor_hijack_133_MED-3830,meta_dom,anchor_seealso_hijack,passage
MED-1882,IPI_PASS_idem_optimized_134_MED-1882,IDEM,idem_llm_optimized,passage
MED-1244,IPI_PASS_semantic_cloaking_135_MED-1244,ASC,semantic_cloaking_dense,passage
MED-1303,IPI_PASS_citation_hijack_136_MED-1303,PAT,citation_footnote_hijack,passage
MED-2061,IPI_PASS_html_hidden_137_MED-2061,meta_dom,html_hidden_comment,passage
MED-3000,IPI_PASS_jsonld_meta_138_MED-3000,meta_dom,jsonld_meta_injection,passage
MED-5323,IPI_PASS_code_smuggling_139_MED-5323,PAT,code_comment_smuggling,passage
MED-4760,IPI_PASS_table_caption_140_MED-4760,PAT,table_caption_infobox,passage
MED-4228,IPI_PASS_unicode_stealth_141_MED-4228,PAT,unicode_stealth,passage
MED-2135,IPI_PASS_anchor_hijack_142_MED-2135,meta_dom,anchor_seealso_hijack,passage
MED-5062,IPI_PASS_idem_optimized_143_MED-5062,IDEM,idem_llm_optimized,passage
MED-4472,IPI_PASS_semantic_cloaking_144_MED-4472,ASC,semantic_cloaking_dense,passage
MED-5023,IPI_PASS_citation_hijack_145_MED-5023,PAT,citation_footnote_hijack,passage
MED-5190,IPI_PASS_html_hidden_146_MED-5190,meta_dom,html_hidden_comment,passage
MED-4405,IPI_PASS_jsonld_meta_147_MED-4405,meta_dom,jsonld_meta_injection,passage
MED-3933,IPI_PASS_code_smuggling_148_MED-3933,PAT,code_comment_smuggling,passage
MED-2724,IPI_PASS_table_caption_149_MED-2724,PAT,table_caption_infobox,passage
MED-854,IPI_PASS_unicode_stealth_150_MED-854,PAT,unicode_stealth,passage
MED-4752,IPI_PASS_anchor_hijack_151_MED-4752,meta_dom,anchor_seealso_hijack,passage
MED-1348,IPI_PASS_idem_optimized_152_MED-1348,IDEM,idem_llm_optimized,passage
MED-2446,IPI_PASS_semantic_cloaking_153_MED-2446,ASC,semantic_cloaking_dense,passage
MED-1410,IPI_PASS_citation_hijack_154_MED-1410,PAT,citation_footnote_hijack,passage
MED-3012,IPI_PASS_html_hidden_155_MED-3012,meta_dom,html_hidden_comment,passage
MED-1224,IPI_PASS_jsonld_meta_156_MED-1224,meta_dom,jsonld_meta_injection,passage
MED-3456,IPI_PASS_code_smuggling_157_MED-3456,PAT,code_comment_smuggling,passage
MED-1847,IPI_PASS_table_caption_158_MED-1847,PAT,table_caption_infobox,passage
MED-2148,IPI_PASS_unicode_stealth_159_MED-2148,PAT,unicode_stealth,passage
MED-4357,IPI_PASS_anchor_hijack_160_MED-4357,meta_dom,anchor_seealso_hijack,passage
MED-1474,IPI_PASS_idem_optimized_161_MED-1474,IDEM,idem_llm_optimized,passage
MED-1247,IPI_PASS_semantic_cloaking_162_MED-1247,ASC,semantic_cloaking_dense,passage
MED-5189,IPI_PASS_citation_hijack_163_MED-5189,PAT,citation_footnote_hijack,passage
MED-2411,IPI_PASS_html_hidden_164_MED-2411,meta_dom,html_hidden_comment,passage
MED-4666,IPI_PASS_jsonld_meta_165_MED-4666,meta_dom,jsonld_meta_injection,passage
MED-4883,IPI_PASS_code_smuggling_166_MED-4883,PAT,code_comment_smuggling,passage
MED-2028,IPI_PASS_table_caption_167_MED-2028,PAT,table_caption_infobox,passage
